Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Female Black,"2,007",4 year August,"13,122",8767,66.8,7150,54.5,81.6,1128,8.6,12.9,6022,45.9,68.7,1617,12.3,18.4,2569,19.6,1436,10.9,183,1.4,161,1.2
Gender by Ethnicity,Female Black,"2,006",4 year August,"13,431",9044,67.3,6671,49.7,73.8,1277,9.5,14.1,5394,40.2,59.6,2373,17.7,26.2,2470,18.4,1496,11.1,206,1.5,210,1.6
Gender by Ethnicity,Female Black,"2,005",4 year August,"13,538",8777,64.8,6002,44.3,68.4,1183,8.7,13.5,4819,35.6,54.9,2775,20.5,31.6,2812,20.8,1369,10.1,266,2.0,314,2.3
Gender by Ethnicity,Female Black,"2,004",4 year August,"13,050",8323,63.8,5260,40.3,63.2,No Data,No Data,No Data,No Data,No Data,No Data,3063,23.5,36.8,3022,23.2,1430,11.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Black,"2,014",4 year June,"10,060",7520,74.8,6897,68.6,91.7,1036,10.3,13.8,5861,58.3,77.9,623,6.2,8.3,1770,17.6,637,6.3,53,0.5,79,0.8
Gender by Ethnicity,Female Black,"2,013",4 year June,"10,176",7491,73.6,6908,67.9,92.2,1055,10.4,14.1,5853,57.5,78.1,583,5.7,7.8,1891,18.6,666,6.5,49,0.5,76,0.7
Gender by Ethnicity,Female Black,"2,012",4 year June,"10,819",7742,71.6,7200,66.5,93.0,1047,9.7,13.5,6153,56.9,79.5,542,5.0,7.0,2146,19.8,782,7.2,71,0.7,63,0.6
Gender by Ethnicity,Female Black,"2,011",4 year June,"10,910",7536,69.1,7095,65.0,94.1,942,8.6,12.5,6153,56.4,81.6,441,4.0,5.9,2323,21.3,879,8.1,103,0.9,62,0.6
Gender by Ethnicity,Female Black,"2,010",4 year June,"11,322",7296,64.4,6903,61.0,94.6,992,8.8,13.6,5911,52.2,81.0,393,3.5,5.4,2845,25.1,976,8.6,123,1.1,77,0.7
Gender by Ethnicity,Female Black,"2,009",4 year June,"12,241",7610,62.2,7252,59.2,95.3,1033,8.4,13.6,6219,50.8,81.7,358,2.9,4.7,3157,25.8,1184,9.7,152,1.2,124,1.0
Gender by Ethnicity,Female Black,"2,008",4 year June,"12,793",7876,61.6,7524,58.8,95.5,1100,8.6,14.0,6424,50.2,81.6,352,2.8,4.5,3276,25.6,1324,10.3,199,1.6,113,0.9
Gender by Ethnicity,Female Black,"2,007",4 year June,"13,122",8138,62.0,6839,52.1,84.0,1120,8.5,13.8,5719,43.6,70.3,1299,9.9,16.0,3179,24.2,1451,11.1,188,1.4,160,1.2
Gender by Ethnicity,Female Black,"2,006",4 year June,"13,431",8478,63.1,6426,47.8,75.8,1273,9.5,15.0,5153,38.4,60.8,2052,15.3,24.2,3021,22.5,1511,11.3,206,1.5,210,1.6
Gender by Ethnicity,Female Black,"2,005",4 year June,"13,538",8262,61.0,5821,43.0,70.5,1177,8.7,14.2,4644,34.3,56.2,2441,18.0,29.5,3326,24.6,1369,10.1,267,2.0,314,2.3
Gender by Ethnicity,Female Black,"2,004",4 year June,"13,050",7756,59.4,5055,38.7,65.2,1244,9.5,16.0,3811,29.2,49.1,2701,20.7,34.8,3588,27.5,1431,11.0,258,2.0,17,0.1
Gender by Ethnicity,Female Black,"2,003",4 year June,"13,101",7245,55.3,4480,34.2,61.8,1150,8.8,15.9,3330,25.4,46.0,2765,21.1,38.2,3769,28.8,1732,13.2,240,1.8,92,0.7
Gender by Ethnicity,Female Black,"2,002",4 year June,"13,116",6593,50.3,3897,29.7,59.1,813,6.2,12.3,3084,23.5,46.8,2708,20.6,41.1,3951,30.1,2121,16.2,205,1.6,184,1.4
Gender by Ethnicity,Female Black,"2,001",4 year June,"12,877",6306,49.0,3392,26.3,53.8,891,6.9,14.1,2501,19.4,39.7,2916,22.6,46.2,3729,29.0,2488,19.3,304,2.4,48,0.4
Gender by Ethnicity,Female Black,"2,013",5 year August,"10,136",8316,82.0,7476,73.8,89.9,1062,10.5,12.8,6414,63.3,77.1,840,8.3,10.1,655,6.5,954,9.4,111,1.1,99,1.0
Gender by Ethnicity,Female Black,"2,012",5 year August,"10,809",8699,80.5,7920,73.3,91.0,1050,9.7,12.1,6870,63.6,79.0,779,7.2,9.0,772,7.1,1098,10.2,155,1.4,75,0.7
Gender by Ethnicity,Female Black,"2,011",5 year August,"10,891",8626,79.2,7945,73.0,92.1,948,8.7,11.0,6997,64.2,81.1,681,6.3,7.9,746,6.8,1272,11.7,152,1.4,81,0.7
Gender by Ethnicity,Female Black,"2,010",5 year August,"11,223",8608,76.7,8003,71.3,93.0,1000,8.9,11.6,7003,62.4,81.4,605,5.4,7.0,918,8.2,1417,12.6,175,1.6,96,0.9
Gender by Ethnicity,Female Black,"2,009",5 year August,"12,195",9007,73.9,8432,69.1,93.6,1037,8.5,11.5,7395,60.6,82.1,575,4.7,6.4,1157,9.5,1698,13.9,175,1.4,139,1.1
Gender by Ethnicity,Female Black,"2,008",5 year August,"12,756",9243,72.5,8693,68.1,94.0,1108,8.7,12.0,7585,59.5,82.1,550,4.3,6.0,1173,9.2,1892,14.8,292,2.3,142,1.1
Gender by Ethnicity,Female Black,"2,007",5 year August,"13,058",9499,72.7,7473,57.2,78.7,1127,8.6,11.9,6346,48.6,66.8,2026,15.5,21.3,769,5.9,2270,17.4,323,2.5,188,1.4
Gender by Ethnicity,Female Black,"2,006",5 year August,"13,517",9866,73.0,6958,51.5,70.5,1280,9.5,13.0,5678,42.0,57.6,2908,21.5,29.5,867,6.4,2229,16.5,344,2.5,205,1.5
Gender by Ethnicity,Female Black,"2,013",5 year June,"10,136",8254,81.4,7442,73.4,90.2,1062,10.5,12.9,6380,62.9,77.3,812,8.0,9.8,717,7.1,954,9.4,111,1.1,99,1.0
Gender by Ethnicity,Female Black,"2,012",5 year June,"10,809",8614,79.7,7865,72.8,91.3,1050,9.7,12.2,6815,63.0,79.1,749,6.9,8.7,853,7.9,1102,10.2,155,1.4,75,0.7
Gender by Ethnicity,Female Black,"2,011",5 year June,"10,891",8532,78.3,7872,72.3,92.3,948,8.7,11.1,6924,63.6,81.2,660,6.1,7.7,836,7.7,1274,11.7,152,1.4,81,0.7
Gender by Ethnicity,Female Black,"2,010",5 year June,"11,223",8511,75.8,7930,70.7,93.2,1000,8.9,11.7,6930,61.7,81.4,581,5.2,6.8,1007,9.0,1424,12.7,176,1.6,96,0.9
Gender by Ethnicity,Female Black,"2,009",5 year June,"12,195",8852,72.6,8310,68.1,93.9,1037,8.5,11.7,7273,59.6,82.2,542,4.4,6.1,1303,10.7,1705,14.0,176,1.4,139,1.1
Gender by Ethnicity,Female Black,"2,008",5 year June,"12,756",9082,71.2,8562,67.1,94.3,1108,8.7,12.2,7454,58.4,82.1,520,4.1,5.7,1310,10.3,1911,15.0,295,2.3,142,1.1
Gender by Ethnicity,Female Black,"2,007",5 year June,"13,058",9396,72.0,7440,57.0,79.2,1127,8.6,12.0,6313,48.3,67.2,1956,15.0,20.8,843,6.5,2297,17.6,325,2.5,188,1.4
Gender by Ethnicity,Female Black,"2,006",5 year June,"13,517",9735,72.0,6925,51.2,71.1,1280,9.5,13.1,5645,41.8,58.0,2810,20.8,28.9,970,7.2,2263,16.7,344,2.5,199,1.5
Gender by Ethnicity,Female Black,"2,005",5 year June,"13,678",9525,69.6,6258,45.8,65.7,1189,8.7,12.5,5069,37.1,53.2,3267,23.9,34.3,1103,8.1,2391,17.5,369,2.7,282,2.1
Gender by Ethnicity,Female Black,"2,004",5 year June,"13,162",9083,69.0,5476,41.6,60.3,1256,9.5,13.8,4220,32.1,46.5,3607,27.4,39.7,1215,9.2,2077,15.8,371,2.8,416,3.2
Gender by Ethnicity,Female Black,"2,003",5 year June,"13,101",8526,65.1,4795,36.6,56.2,1157,8.8,13.6,3638,27.8,42.7,3731,28.5,43.8,1526,11.6,2503,19.1,413,3.2,108,0.8
Gender by Ethnicity,Female Black,"2,002",5 year June,"13,116",7925,60.4,4220,32.2,53.2,832,6.3,10.5,3388,25.8,42.8,3756,28.6,47.4,1641,12.5,2964,22.6,336,2.6,186,1.4
Gender by Ethnicity,Female Black,"2,001",5 year June,"12,877",7546,58.6,3603,28.0,47.7,902,7.0,12.0,2701,21.0,35.8,3948,30.7,52.3,1414,11.0,3428,26.6,429,3.3,48,0.4
Gender by Ethnicity,Female Black,"2,012",6 year June,"10,798",8871,82.2,8030,74.4,90.5,1050,9.7,11.8,6980,64.6,78.7,841,7.8,9.5,457,4.2,1222,11.3,164,1.5,80,0.7
Gender by Ethnicity,Female Black,"2,011",6 year June,"10,891",8821,81.0,8083,74.2,91.6,948,8.7,10.7,7135,65.5,80.9,738,6.8,8.4,440,4.0,1363,12.5,167,1.5,87,0.8
Gender by Ethnicity,Female Black,"2,010",6 year June,"11,227",8858,78.9,8181,72.9,92.4,1000,8.9,11.3,7181,64.0,81.1,677,6.0,7.6,530,4.7,1543,13.7,188,1.7,97,0.9
Gender by Ethnicity,Female Black,"2,009",6 year June,"12,201",9315,76.3,8675,71.1,93.1,1037,8.5,11.1,7638,62.6,82.0,640,5.2,6.9,688,5.6,1860,15.2,186,1.5,139,1.1
Gender by Ethnicity,Female Black,"2,008",6 year June,"12,750",9517,74.6,8922,70.0,93.7,1108,8.7,11.6,7814,61.3,82.1,595,4.7,6.3,652,5.1,2049,16.1,390,3.1,131,1.0
Gender by Ethnicity,Female Black,"2,007",6 year June,"13,034",9721,74.6,7559,58.0,77.8,1128,8.7,11.6,6431,49.3,66.2,2162,16.6,22.2,412,3.2,2359,18.1,347,2.7,186,1.4
Gender by Ethnicity,Female Black,"2,006",6 year June,"13,369",10115,75.7,7014,52.5,69.3,1281,9.6,12.7,5733,42.9,56.7,3101,23.2,30.7,368,2.8,2316,17.3,351,2.6,211,1.6
Gender by Ethnicity,Female Black,"2,005",6 year June,"13,673",9935,72.7,6348,46.4,63.9,1189,8.7,12.0,5159,37.7,51.9,3587,26.2,36.1,558,4.1,2535,18.5,387,2.8,250,1.8
Gender by Ethnicity,Female Black,"2,004",6 year June,"13,169",9486,72.0,5566,42.3,58.7,1256,9.5,13.2,4310,32.7,45.4,3920,29.8,41.3,702,5.3,2396,18.2,382,2.9,189,1.4
Gender by Ethnicity,Female Black,"2,003",6 year June,"13,131",8941,68.1,4873,37.1,54.5,1157,8.8,12.9,3716,28.3,41.6,4068,31.0,45.5,705,5.4,2778,21.2,433,3.3,249,1.9
Gender by Ethnicity,Female Black,"2,002",6 year June,"13,116",8353,63.7,4284,32.7,51.3,832,6.3,10.0,3452,26.3,41.3,4120,31.4,49.3,833,6.4,3285,25.0,386,2.9,195,1.5
Gender by Ethnicity,Female Black,"2,001",6 year June,"12,877",7943,61.7,3654,28.4,46.0,903,7.0,11.4,2751,21.4,34.6,4308,33.5,54.2,563,4.4,3840,29.8,471,3.7,48,0.4
Gender by Ethnicity,Female Hispanic,"2,014",4 year August,"14,188",10735,75.7,9634,67.9,89.7,1930,13.6,18.0,7704,54.3,71.8,1101,7.8,10.3,2055,14.5,1199,8.5,54,0.4,145,1.0
Gender by Ethnicity,Female Hispanic,"2,013",4 year August,"13,752",10134,73.7,9220,67.0,91.0,1782,13.0,17.6,7438,54.1,73.4,914,6.6,9.0,2228,16.2,1230,8.9,57,0.4,100,0.7
Gender by Ethnicity,Female Hispanic,"2,012",4 year August,"14,020",10170,72.5,9391,67.0,92.3,1584,11.3,15.6,7807,55.7,76.8,779,5.6,7.7,2338,16.7,1316,9.4,90,0.6,98,0.7
Gender by Ethnicity,Female Hispanic,"2,011",4 year August,"14,118",9800,69.4,9130,64.7,93.2,1509,10.7,15.4,7621,54.0,77.8,670,4.7,6.8,2641,18.7,1454,10.3,125,0.9,93,0.7
Gender by Ethnicity,Female Hispanic,"2,010",4 year August,"14,206",9341,65.8,8747,61.6,93.6,1439,10.1,15.4,7308,51.4,78.2,594,4.2,6.4,2967,20.9,1661,11.7,129,0.9,105,0.7
Gender by Ethnicity,Female Hispanic,"2,009",4 year August,"14,914",9510,63.8,8963,60.1,94.2,1456,9.8,15.3,7507,50.3,78.9,547,3.7,5.8,3297,22.1,1817,12.2,149,1.0,132,0.9
Gender by Ethnicity,Female Hispanic,"2,008",4 year August,"14,940",9259,62.0,8792,58.8,95.0,1443,9.7,15.6,7349,49.2,79.4,467,3.1,5.0,3379,22.6,1947,13.0,194,1.3,147,1.0
Gender by Ethnicity,Female Hispanic,"2,007",4 year August,"15,310",9879,64.5,8095,52.9,81.9,1485,9.7,15.0,6610,43.2,66.9,1784,11.7,18.1,3007,19.6,2052,13.4,179,1.2,183,1.2
Gender by Ethnicity,Female Hispanic,"2,006",4 year August,"14,835",9489,64.0,6954,46.9,73.3,1443,9.7,15.2,5511,37.1,58.1,2535,17.1,26.7,2896,19.5,1961,13.2,222,1.5,263,1.8
Gender by Ethnicity,Female Hispanic,"2,005",4 year August,"14,396",8988,62.4,5915,41.1,65.8,1382,9.6,15.4,4533,31.5,50.4,3073,21.3,34.2,3018,21.0,1834,12.7,215,1.5,341,2.4
Gender by Ethnicity,Female Hispanic,"2,004",4 year August,"13,948",8295,59.5,5099,36.6,61.5,No Data,No Data,No Data,No Data,No Data,No Data,3198,22.9,38.6,3326,23.8,2094,15.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Hispanic,"2,014",4 year June,"14,188",10269,72.4,9312,65.6,90.7,1925,13.6,18.7,7387,52.1,71.9,957,6.7,9.3,2520,17.8,1199,8.5,55,0.4,145,1.0
Gender by Ethnicity,Female Hispanic,"2,013",4 year June,"13,752",9658,70.2,8858,64.4,91.7,1775,12.9,18.4,7083,51.5,73.3,800,5.8,8.3,2702,19.6,1230,8.9,59,0.4,100,0.7
Gender by Ethnicity,Female Hispanic,"2,012",4 year June,"14,020",9741,69.5,9070,64.7,93.1,1585,11.3,16.3,7485,53.4,76.8,671,4.8,6.9,2765,19.7,1316,9.4,92,0.7,98,0.7
Gender by Ethnicity,Female Hispanic,"2,011",4 year June,"14,118",9332,66.1,8759,62.0,93.9,1502,10.6,16.1,7257,51.4,77.8,573,4.1,6.1,3105,22.0,1454,10.3,128,0.9,93,0.7
Gender by Ethnicity,Female Hispanic,"2,010",4 year June,"14,206",8697,61.2,8181,57.6,94.1,1428,10.1,16.4,6753,47.5,77.6,516,3.6,5.9,3609,25.4,1661,11.7,130,0.9,105,0.7
Gender by Ethnicity,Female Hispanic,"2,009",4 year June,"14,914",8745,58.6,8297,55.6,94.9,1441,9.7,16.5,6856,46.0,78.4,448,3.0,5.1,4046,27.1,1818,12.2,162,1.1,132,0.9
Gender by Ethnicity,Female Hispanic,"2,008",4 year June,"14,940",8519,57.0,8142,54.5,95.6,1438,9.6,16.9,6704,44.9,78.7,377,2.5,4.4,4098,27.4,1958,13.1,204,1.4,147,1.0
Gender by Ethnicity,Female Hispanic,"2,007",4 year June,"15,310",9084,59.3,7690,50.2,84.7,1470,9.6,16.2,6220,40.6,68.5,1394,9.1,15.3,3770,24.6,2079,13.6,190,1.2,179,1.2
Gender by Ethnicity,Female Hispanic,"2,006",4 year June,"14,835",8871,59.8,6698,45.1,75.5,1436,9.7,16.2,5262,35.5,59.3,2173,14.6,24.5,3497,23.6,1978,13.3,222,1.5,263,1.8
Gender by Ethnicity,Female Hispanic,"2,005",4 year June,"14,396",8428,58.5,5741,39.9,68.1,1375,9.6,16.3,4366,30.3,51.8,2687,18.7,31.9,3577,24.8,1835,12.7,215,1.5,341,2.4
Gender by Ethnicity,Female Hispanic,"2,004",4 year June,"13,948",7658,54.9,4870,34.9,63.6,1379,9.9,18.0,3491,25.0,45.6,2788,20.0,36.4,3963,28.4,2094,15.0,210,1.5,22,0.2
Gender by Ethnicity,Female Hispanic,"2,003",4 year June,"13,362",6722,50.3,4077,30.5,60.7,1175,8.8,17.5,2902,21.7,43.2,2645,19.8,39.3,4011,30.0,2322,17.4,181,1.4,108,0.8
Gender by Ethnicity,Female Hispanic,"2,002",4 year June,"13,103",6108,46.6,3503,26.7,57.4,762,5.8,12.5,2741,20.9,44.9,2612,19.9,42.8,3997,30.5,2622,20.0,179,1.4,149,1.1
Gender by Ethnicity,Female Hispanic,"2,001",4 year June,"12,608",5570,44.2,3037,24.1,54.5,765,6.1,13.7,2272,18.0,40.8,2539,20.1,45.6,3699,29.3,2963,23.5,325,2.6,47,0.4
Gender by Ethnicity,Female Hispanic,"2,013",5 year August,"13,727",10749,78.3,9648,70.3,89.8,1780,13.0,16.6,7868,57.3,73.2,1101,8.0,10.2,937,6.8,1755,12.8,136,1.0,148,1.1
Gender by Ethnicity,Female Hispanic,"2,012",5 year August,"13,989",10851,77.6,9870,70.6,91.0,1584,11.3,14.6,8286,59.2,76.4,981,7.0,9.0,1026,7.3,1801,12.9,185,1.3,122,0.9
Gender by Ethnicity,Female Hispanic,"2,011",5 year August,"14,063",10646,75.7,9770,69.5,91.8,1505,10.7,14.1,8265,58.8,77.6,876,6.2,8.2,999,7.1,2076,14.8,221,1.6,113,0.8
Gender by Ethnicity,Female Hispanic,"2,010",5 year August,"14,158",10241,72.3,9449,66.7,92.3,1441,10.2,14.1,8008,56.6,78.2,792,5.6,7.7,1219,8.6,2362,16.7,194,1.4,134,0.9
Gender by Ethnicity,Female Hispanic,"2,009",5 year August,"14,836",10532,71.0,9821,66.2,93.2,1459,9.8,13.9,8362,56.4,79.4,711,4.8,6.8,1427,9.6,2530,17.1,174,1.2,164,1.1
Gender by Ethnicity,Female Hispanic,"2,008",5 year August,"14,902",10205,68.5,9571,64.2,93.8,1446,9.7,14.2,8125,54.5,79.6,634,4.3,6.2,1497,10.0,2703,18.1,315,2.1,165,1.1
Gender by Ethnicity,Female Hispanic,"2,007",5 year August,"15,205",10705,70.4,8448,55.6,78.9,1474,9.7,13.8,6974,45.9,65.1,2257,14.8,21.1,897,5.9,3091,20.3,311,2.0,193,1.3
Gender by Ethnicity,Female Hispanic,"2,006",5 year August,"14,956",10416,69.6,7322,49.0,70.3,1445,9.7,13.9,5877,39.3,56.4,3094,20.7,29.7,982,6.6,2918,19.5,376,2.5,252,1.7
Gender by Ethnicity,Female Hispanic,"2,013",5 year June,"13,727",10656,77.6,9590,69.9,90.0,1780,13.0,16.7,7810,56.9,73.3,1066,7.8,10.0,1025,7.5,1760,12.8,136,1.0,148,1.1
Gender by Ethnicity,Female Hispanic,"2,012",5 year June,"13,989",10758,76.9,9802,70.1,91.1,1584,11.3,14.7,8218,58.7,76.4,956,6.8,8.9,1115,8.0,1805,12.9,185,1.3,122,0.9
Gender by Ethnicity,Female Hispanic,"2,011",5 year June,"14,063",10518,74.8,9690,68.9,92.1,1505,10.7,14.3,8185,58.2,77.8,828,5.9,7.9,1121,8.0,2081,14.8,221,1.6,113,0.8
Gender by Ethnicity,Female Hispanic,"2,010",5 year June,"14,158",10102,71.4,9335,65.9,92.4,1441,10.2,14.3,7894,55.8,78.1,767,5.4,7.6,1346,9.5,2372,16.8,196,1.4,134,0.9
Gender by Ethnicity,Female Hispanic,"2,009",5 year June,"14,836",10333,69.6,9654,65.1,93.4,1459,9.8,14.1,8195,55.2,79.3,679,4.6,6.6,1616,10.9,2539,17.1,175,1.2,164,1.1
Gender by Ethnicity,Female Hispanic,"2,008",5 year June,"14,902",10020,67.2,9413,63.2,93.9,1446,9.7,14.4,7967,53.5,79.5,607,4.1,6.1,1667,11.2,2713,18.2,319,2.1,165,1.1
Gender by Ethnicity,Female Hispanic,"2,007",5 year June,"15,205",10547,69.4,8383,55.1,79.5,1474,9.7,14.0,6909,45.4,65.5,2164,14.2,20.5,1005,6.6,3139,20.6,313,2.1,193,1.3
Gender by Ethnicity,Female Hispanic,"2,006",5 year June,"14,956",10266,68.6,7277,48.7,70.9,1445,9.7,14.1,5832,39.0,56.8,2989,20.0,29.1,1091,7.3,2965,19.8,376,2.5,247,1.7
Gender by Ethnicity,Female Hispanic,"2,005",5 year June,"14,581",9903,67.9,6259,42.9,63.2,1390,9.5,14.0,4869,33.4,49.2,3644,25.0,36.8,1199,8.2,2831,19.4,328,2.2,307,2.1
Gender by Ethnicity,Female Hispanic,"2,004",5 year June,"14,083",9189,65.2,5391,38.3,58.7,1401,9.9,15.2,3990,28.3,43.4,3798,27.0,41.3,1370,9.7,2786,19.8,315,2.2,422,3.0
Gender by Ethnicity,Female Hispanic,"2,003",5 year June,"13,362",8110,60.7,4428,33.1,54.6,1195,8.9,14.7,3233,24.2,39.9,3682,27.6,45.4,1614,12.1,3169,23.7,334,2.5,117,0.9
Gender by Ethnicity,Female Hispanic,"2,002",5 year June,"13,103",7481,57.1,3896,29.7,52.1,791,6.0,10.6,3105,23.7,41.5,3639,27.8,48.6,1667,12.7,3468,26.5,285,2.2,153,1.2
Gender by Ethnicity,Female Hispanic,"2,001",5 year June,"12,608",6866,54.5,3297,26.2,48.0,789,6.3,11.5,2508,19.9,36.5,3585,28.4,52.2,1389,11.0,3862,30.6,434,3.4,47,0.4
Gender by Ethnicity,Female Hispanic,"2,012",6 year June,"13,970",11055,79.1,9989,71.5,90.4,1584,11.3,14.3,8405,60.2,76.0,1066,7.6,9.6,596,4.3,1945,13.9,201,1.4,136,1.0
Gender by Ethnicity,Female Hispanic,"2,011",6 year June,"14,083",10888,77.3,9932,70.5,91.2,1505,10.7,13.8,8427,59.8,77.4,956,6.8,8.8,619,4.4,2206,15.7,237,1.7,128,0.9
Gender by Ethnicity,Female Hispanic,"2,010",6 year June,"14,128",10545,74.6,9664,68.4,91.6,1442,10.2,13.7,8222,58.2,78.0,881,6.2,8.4,690,4.9,2540,18.0,209,1.5,137,1.0
Gender by Ethnicity,Female Hispanic,"2,009",6 year June,"14,826",10899,73.5,10112,68.2,92.8,1460,9.8,13.4,8652,58.4,79.4,787,5.3,7.2,850,5.7,2718,18.3,183,1.2,171,1.2
Gender by Ethnicity,Female Hispanic,"2,008",6 year June,"14,893",10543,70.8,9826,66.0,93.2,1446,9.7,13.7,8380,56.3,79.5,717,4.8,6.8,852,5.7,2909,19.5,399,2.7,175,1.2
Gender by Ethnicity,Female Hispanic,"2,007",6 year June,"15,243",11012,72.2,8627,56.6,78.3,1481,9.7,13.4,7146,46.9,64.9,2385,15.6,21.7,468,3.1,3214,21.1,335,2.2,205,1.3
Gender by Ethnicity,Female Hispanic,"2,006",6 year June,"14,796",10681,72.2,7418,50.1,69.5,1445,9.8,13.5,5973,40.4,55.9,3263,22.1,30.5,451,3.0,3055,20.6,353,2.4,241,1.6
Gender by Ethnicity,Female Hispanic,"2,005",6 year June,"14,567",10323,70.9,6373,43.7,61.7,1393,9.6,13.5,4980,34.2,48.2,3950,27.1,38.3,602,4.1,2983,20.5,354,2.4,291,2.0
Gender by Ethnicity,Female Hispanic,"2,004",6 year June,"14,106",9673,68.6,5499,39.0,56.8,1403,9.9,14.5,4096,29.0,42.3,4174,29.6,43.2,845,6.0,3062,21.7,321,2.3,187,1.3
Gender by Ethnicity,Female Hispanic,"2,003",6 year June,"13,392",8608,64.3,4528,33.8,52.6,1197,8.9,13.9,3331,24.9,38.7,4080,30.5,47.4,749,5.6,3421,25.5,357,2.7,239,1.8
Gender by Ethnicity,Female Hispanic,"2,002",6 year June,"13,103",7917,60.4,3966,30.3,50.1,794,6.1,10.0,3172,24.2,40.1,4005,30.6,50.6,861,6.6,3804,29.0,318,2.4,154,1.2
Gender by Ethnicity,Female Hispanic,"2,001",6 year June,"12,608",7230,57.3,3350,26.6,46.3,792,6.3,11.0,2558,20.3,35.4,3909,31.0,54.1,575,4.6,4279,33.9,467,3.7,47,0.4
Gender by Ethnicity,Female Multi-Racial,"2,014",4 year August,525,476,90.7,458,87.2,96.2,163,31.0,34.2,295,56.2,62.0,18,3.4,3.8,38,7.2,9,1.7,1,0.2,1,0.2
Gender by Ethnicity,Female Multi-Racial,"2,013",4 year August,394,355,90.1,347,88.1,97.7,108,27.4,30.4,239,60.7,67.3,8,2.0,2.3,21,5.3,16,4.1,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,"2,012",4 year August,388,354,91.2,348,89.7,98.3,143,36.9,40.4,205,52.8,57.9,6,1.5,1.7,17,4.4,16,4.1,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,"2,011",4 year August,115,94,81.7,92,80.0,97.9,35,30.4,37.2,57,49.6,60.6,2,1.7,2.1,9,7.8,12,10.4,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,010",4 year August,102,78,76.5,77,75.5,98.7,26,25.5,33.3,51,50.0,65.4,1,1.0,1.3,17,16.7,7,6.9,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,009",4 year August,56,25,44.6,25,44.6,100.0,7,12.5,28.0,18,32.1,72.0,0,0.0,0.0,20,35.7,8,14.3,2,3.6,1,1.8
Gender by Ethnicity,Female Multi-Racial,"2,008",4 year August,47,32,68.1,32,68.1,100.0,11,23.4,34.4,21,44.7,65.6,0,0.0,0.0,10,21.3,5,10.6,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,007",4 year August,34,25,73.5,23,67.6,92.0,6,17.6,24.0,17,50.0,68.0,2,5.9,8.0,4,11.8,5,14.7,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,006",4 year August,131,100,76.3,78,59.5,78.0,24,18.3,24.0,54,41.2,54.0,22,16.8,22.0,17,13.0,11,8.4,0,0.0,3,2.3
Gender by Ethnicity,Female Multi-Racial,"2,005",4 year August,147,100,68.0,71,48.3,71.0,15,10.2,15.0,56,38.1,56.0,29,19.7,29.0,25,17.0,21,14.3,0,0.0,1,0.7
Gender by Ethnicity,Female Multi-Racial,"2,004",4 year August,130,91,70.0,66,50.8,72.5,No Data,No Data,No Data,No Data,No Data,No Data,25,19.2,27.5,26,20.0,13,10.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Female Multi-Racial,"2,014",4 year June,525,463,88.2,446,85.0,96.3,162,30.9,35.0,284,54.1,61.3,17,3.2,3.7,51,9.7,9,1.7,1,0.2,1,0.2
Gender by Ethnicity,Female Multi-Racial,"2,013",4 year June,394,347,88.1,342,86.8,98.6,108,27.4,31.1,234,59.4,67.4,5,1.3,1.4,29,7.4,16,4.1,0,0.0,2,0.5
Gender by Ethnicity,Female Multi-Racial,"2,012",4 year June,388,345,88.9,340,87.6,98.6,143,36.9,41.4,197,50.8,57.1,5,1.3,1.4,26,6.7,16,4.1,0,0.0,1,0.3
Gender by Ethnicity,Female Multi-Racial,"2,011",4 year June,115,93,80.9,91,79.1,97.8,35,30.4,37.6,56,48.7,60.2,2,1.7,2.2,10,8.7,12,10.4,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,010",4 year June,102,76,74.5,75,73.5,98.7,26,25.5,34.2,49,48.0,64.5,1,1.0,1.3,19,18.6,7,6.9,0,0.0,0,0.0
Gender by Ethnicity,Female Multi-Racial,"2,009",4 year June,56,23,41.1,23,41.1,100.0,7,12.5,30.4,16,28.6,69.6,0,0.0,0.0,22,39.3,8,14.3,2,3.6,1,1.8
Gender by Ethnicity,Female Multi-Racial,"2,008",4 year June,47,31,66.0,31,66.0,100.0,11,23.4,35.5,20,42.6,64.5,0,0.0,0.0,11,23.4,5,10.6,0,0.0,0,0.0
